Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
14,Georgia Institute of Technology,J. Rhett Mayor,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Anirban Mazumdar,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Ellen Yi Chen Mazumdar,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,David L. McDowell,Regents' Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Matthew McDowell,"Carter N. Paden, Jr. Distinguished Chair, Associate Professor",,,,,,,,
14,Georgia Institute of Technology,Leon McGinnis,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Julien Meaud,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Shreyes N. Melkote,"Morris M. Bryan, Jr. Professor",,,,,,,,
14,Georgia Institute of Technology,Akanksha Menon,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Karthik Menon,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Luis Barrales Mora,Adjunct Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Richard W. Neu,Director of Mechanical Properties Facility,,,,,,,,
14,Georgia Institute of Technology,"G. P. ""Bud"" Peterson",President Emeritus,,,,,,,,
14,Georgia Institute of Technology,Bojan Petrovic,Professor,,,,,,,,
14,Georgia Institute of Technology,Olivier Pierron,Professor,,,,,,,,
14,Georgia Institute of Technology,Raghuram V. Pucha,Principal Lecturer,,,,,,,,
14,Georgia Institute of Technology,H. Jerry Qi,"Woodruff Professor, Professor",,,,,,,,
14,Georgia Institute of Technology,Farzad Rahnema,Distinguished Professor,,,,,,,,
14,Georgia Institute of Technology,Devesh Ranjan,"Eugene C. Gwaltney, Jr. School Chair",,,,,,,,
14,Georgia Institute of Technology,Peter H. Rogers,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,David W. Rosen,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Karim Sabra,Professor,,,,,,,,
14,Georgia Institute of Technology,Nader Sadegh,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Sourabh Saha,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Richard F. Salant,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Christopher J. Saldaña,"Ring Family Professor, Associate Professor",,,,,,,,
14,Georgia Institute of Technology,Emily Sanders,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Louis Satyanarayan,Adjunct Professor,,,,,,,,
14,Georgia Institute of Technology,Gregory Sawicki,"Joseph Anderer Faculty Fellow, Associate Professor",,,,,,,,
14,Georgia Institute of Technology,Carolyn Seepersad,Woodruff Professor,,,,,,,,
14,Georgia Institute of Technology,Jianjun (Jan) Shi,Professor,,,,,,,,
14,Georgia Institute of Technology,Ankur Singh,"Carl Ring Family Professor, Professor",,,,,,,,
14,Georgia Institute of Technology,William E. Singhose,Professor,,,,,,,,
14,Georgia Institute of Technology,Suresh K. Sitaraman,"Regents' Professor and Morris M. Bryan, Jr. Professor",,,,,,,,
14,Georgia Institute of Technology,Vanessa Smet,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Marc K. Smith,Professor,,,,,,,,
14,Georgia Institute of Technology,David R. Smith,Lecturer,,,,,,,,
14,Georgia Institute of Technology,Stephen Sprigle,Professor,,,,,,,,
14,Georgia Institute of Technology,Katepalli R. Sreenivasan,Adjunct Professor,,,,,,,,
14,Georgia Institute of Technology,"Weston M. Stacey, Jr.",Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Aaron Stebner,"Eugene C. Gwaltney Jr. Chair in Manufacturing, Associate Professor",,,,,,,,
14,Georgia Institute of Technology,Todd Sulchek,"Professor, Regents’ Innovator",,,,,,,,
14,Georgia Institute of Technology,Wenting Sun,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Vincent Taupin,Adjunct Lecturer,,,,,,,,
14,Georgia Institute of Technology,Naresh N. Thadhani,Professor,,,,,,,,
14,Georgia Institute of Technology,Susan Napier Thomas,"Professor, Woodruff Professor",,,,,,,,
14,Georgia Institute of Technology,Lena H. Ting,Professor,,,,,,,,
14,Georgia Institute of Technology,Mike Tinskey,Professor of the Practice,,,,,,,,
14,Georgia Institute of Technology,Maegan Tucker,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Jun Ueda,Professor,,,,,,,,
14,Georgia Institute of Technology,Raymond P. Vito,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Yan Wang,Professor,,,,,,,,
14,Georgia Institute of Technology,C.-K. Chris Wang,Professor,,,,,,,,
14,Georgia Institute of Technology,Levi Wood,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Shuman Xia,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Arash Yavari,Professor,,,,,,,,
14,Georgia Institute of Technology,Shannon Yee,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,W. Hong Yeo,"Harris Saunders, Jr. Professor, Associate Professor",,,,,,,,
14,Georgia Institute of Technology,P. K. Yeung,Professor,,,,,,,,
14,Georgia Institute of Technology,Aaron Young,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Fan Zhang,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Zhuomin Zhang,"J. Erskine Love, Jr. Professor",,,,,,,,
14,Georgia Institute of Technology,Ye Zhao,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Min Zhou,"Carter N. Paden, Jr. Distinguished Chair, George W. Woodruff Professorship, Professor",,,,,,,,
14,Georgia Institute of Technology,Ting Zhu,"Carter N. Paden, Jr. Distinguished Chair, Professor",,,,,,,,
14,Georgia Institute of Technology,Cheng Zhu,Professor,,,,,,,,
14,Georgia Institute of Technology,Ben T. Zinn,Professor Emeritus,,,,,,,,
